date,total_cost,currency
2026-02-06,0.15,USD
2026-02-07,0.02,USD
2026-02-08,0.02,USD
2026-02-09,0.02,USD
2026-02-10,0.02,USD
2026-02-11,0.02,USD
2026-02-12,0.02,USD
2026-02-13,0.02,USD
2026-02-14,0.02,USD
2026-02-15,0.02,USD
2026-02-16,0.02,USD
2026-02-17,0.02,USD
2026-02-18,0.02,USD
2026-02-19,0.02,USD
2026-02-20,0.02,USD
2026-02-21,0.02,USD
2026-02-22,0.02,USD
2026-02-23,0.02,USD
2026-02-24,0.0,USD
2026-02-25,0.02,USD
2026-02-26,0.0,USD
2026-02-27,0.02,USD
2026-02-28,0.02,USD
2026-03-01,1.22,USD
